	NZ_CP023661	NZ_CP018854	NZ_CP009037	NZ_CP075325	NC_003919	NZ_CP009025	NZ_CP020889	NZ_CP060453	NZ_CP060002	NZ_CP023662	NZ_CP060446	NZ_CP059999	NZ_CP011827	NZ_CP018850	NZ_CP096227	NZ_CP060460	NZ_CP012002	NZ_CP009001	NZ_CP060470	NZ_CP009040	NZ_CP009004	NZ_CP008995	NZ_CP011160	NZ_CP008992	NZ_CP008989	NZ_CP008998	NZ_CP009019	NZ_CP020885	NZ_CP023285	NZ_CP009010	NZ_CP060465	NZ_CP009016	NZ_CP020882	NZ_CP009031	NZ_CP011250	NZ_CP009013	NZ_CP018858	NZ_CP009007	NZ_CP009022	NZ_CP009028	NZ_CP018847	NC_020815	NZ_CP011163
NZ_CP060446	0.9985276814672223	0.9985246263197717	0.9983873667355196	0.9985254041175811	0.9984919986188034	0.9984984085939632	0.9987542886665867	0.9997344490826177	0.9985631025500751	0.9982532701243455	1.0	0.9984347632601583	0.9983761115180999	0.9985734143380166	0.9985181675838839	0.999466194526886	0.9635147456309242	0.9985063207917205	0.9997750257382765	0.9984298833578049	0.9984950470636437	0.9984980588999481	0.9637448655316011	0.9984367857177001	0.9984459191374432	0.9985151718353805	0.9985245980641837	0.9987709369908168	0.9985498678236319	0.9984997155914563	0.9994646513256998	0.9985228827089502	0.9987521569105539	0.998422563588718	0.963452491892156	0.9985059732713925	0.9985258720353273	0.9984969176570331	0.99850796693204	0.9984976984530433	0.9985244933514864	0.9984205001460358	0.9635928786903484
NZ_CP059999	0.9996454200779851	0.999588789243696	0.9979637320574911	0.9996568107750213	0.9996466123420498	0.9996450834290932	0.9982202487945926	0.9983124770941757	0.9996532401062456	0.9993078364402094	0.9984347632601583	1.0	0.9995397774673161	0.9995673903137128	0.9997132552467463	0.9985611324431656	0.9632980910296742	0.9996665429487244	0.9983775711085466	0.9979754245530037	0.9996546017780055	0.9996475675075374	0.9637058366595623	0.9995524807643695	0.9995675585817718	0.9996627363151308	0.999650779177905	0.9982415216985494	0.9996272978648855	0.9996685650018192	0.9985484765892434	0.9996447824854184	0.9982140998590203	0.9979906503092536	0.9632508854892068	0.9996640478421895	0.9995806399919556	0.9996466090775966	0.9996433097299618	0.9996468118918247	0.999600521698292	0.9979770660112021	0.9634960604448928
NZ_CP011827	0.9996692223670554	0.9994772693584394	0.9979316157079773	0.9996024073581145	0.9996546753406852	0.9996579048390415	0.9981254397972467	0.9982281152714931	0.9995898090416888	0.999312893206148	0.9983761115180999	0.9995397774673161	1.0	0.9994482869661119	0.9995911626093913	0.9984606644834741	0.9631661108810742	0.9996715239760156	0.9982854692694895	0.9979464350076569	0.9996684020731375	0.9996580655745833	0.9635497660071936	0.9995902837318033	0.9995998609884641	0.9996785817632382	0.9997057190418408	0.9981625230781834	0.9995417338410179	0.9996726351151255	0.9984477304217217	0.9997064718442524	0.9981482490708051	0.9979440823211005	0.9631018642944629	0.9996689449072877	0.9994793917706011	0.9996594273288579	0.9996363042532533	0.9996563623953736	0.9994897009233655	0.9979537137633556	0.9633400078212732
NZ_CP018850	0.9996088956248883	0.9997588936883361	0.9980160041807862	0.9994975550140315	0.9996352833406419	0.9996267681581082	0.9983208202338207	0.9984260607003645	0.9996159900065225	0.9992617511582453	0.9985734143380166	0.9995673903137128	0.9994482869661119	1.0	0.9996856276048487	0.9986062997863218	0.9632129049896463	0.9996401865183135	0.9984672876459686	0.9980321708825323	0.9996302141744157	0.9996376908087762	0.963600740116764	0.9995444182706663	0.9995488660672376	0.9996423521084731	0.9996267580732562	0.9982806776289977	0.999624760322851	0.9996305566518049	0.9986062454672339	0.9996360294519631	0.9983211132807345	0.9980300222962197	0.9631589037500833	0.9996332018416386	0.9997852860467	0.9996265910798731	0.9996310285905681	0.9996378757547646	0.9997747063583834	0.9980330752190231	0.9634107076171999
NZ_CP096227	0.999713642398976	0.9996526098689102	0.9981030838120543	0.9997051468259602	0.9997312413676788	0.9997323884705532	0.998337155435844	0.9984026048920741	0.999733514645728	0.999409574547315	0.9985181675838839	0.9997132552467463	0.9995911626093913	0.9996856276048487	1.0	0.9986574487428848	0.9632274286536147	0.9997563239034984	0.9984650563160766	0.9981094933851768	0.999750187130382	0.9997340456306434	0.96357758266931	0.9996602330403763	0.9996777945227636	0.9997538404075603	0.9997398174204885	0.9983472107149648	0.999721917968362	0.9997519382535983	0.9986618313855833	0.9997416534252795	0.9983347151640349	0.9981137822400303	0.9631827120561905	0.999752483094255	0.9996661406866064	0.9997333750563856	0.9997291132724816	0.999732459244869	0.9996745786926454	0.9981099504905314	0.9633986475985511
NZ_CP060460	0.998620372136878	0.9985943892705048	0.9985523290636195	0.9986356402466611	0.9986283504049481	0.9986300692677159	0.9984986612346637	0.9993113029186474	0.9986352549382276	0.9982652559006167	0.999466194526886	0.9985611324431656	0.9984606644834741	0.9986062997863218	0.9986574487428848	1.0	0.9631202439584439	0.9986620545946406	0.9994221281520282	0.9985725201492032	0.9986403098614122	0.9986417398183371	0.9636026727033737	0.9985548985559185	0.9985636267915574	0.9986558300587418	0.998657865707692	0.999012561881451	0.998688881955145	0.998632385065868	0.9999303804194377	0.9986517307039791	0.9985273903648038	0.9985715439126033	0.9630674409689809	0.9986307915733726	0.998629069570693	0.9986410060068812	0.998641531032644	0.9986426048413095	0.9986332324926408	0.9985440554268392	0.963456879359188
NZ_CP012002	0.9632071199887017	0.9632273060597834	0.9633866955521764	0.9632463132189235	0.9632478780590088	0.963241027906505	0.9634027874378289	0.9634413818707694	0.9632171786733829	0.9633419579576138	0.9635147456309242	0.9632980910296742	0.9631661108810742	0.9632129049896463	0.9632274286536147	0.9631202439584439	1.0	0.9632095751910461	0.9633374577962162	0.963384196291951	0.9632020877854611	0.9632041735169146	0.9932626962863816	0.9632171597143315	0.9632243277852465	0.9632088438207769	0.9632018736432695	0.9632619079748818	0.9631885716267055	0.9631958466198888	0.9631550798693224	0.9632016424890959	0.9634533951996757	0.9633937891185114	0.9999171562892412	0.9632042397592551	0.9631558322710624	0.9632034802109684	0.9632027869050221	0.9632027869050221	0.9631769620440483	0.9633860537685809	0.9931001408772615
NZ_CP009001	0.9998211545131878	0.9996231207335178	0.998084449005467	0.9997427630322936	0.9999218683081653	0.9999205178225279	0.9982771246486957	0.9983642767127959	0.9997399237875075	0.9995314331206832	0.9985063207917205	0.9996665429487244	0.9996715239760156	0.9996401865183135	0.9997563239034984	0.9986620545946406	0.9632095751910461	1.0	0.9984576002603627	0.9981033171473702	0.9999711438556264	0.9999230262305	0.9636234686974214	0.9998423419685679	0.9998544982708644	0.9999819891179412	0.9999227446036529	0.9983427912488492	0.9997705686254837	0.9999329304032823	0.9986294651045945	0.9999223602484472	0.9983015716746254	0.998106814436479	0.9631820103074686	0.999929628231094	0.9996269815774033	0.9999224474803534	0.9998975698691681	0.9999224474803534	0.9996327998736726	0.9981047423290433	0.9634217076182662
NZ_CP060470	0.9984459123777248	0.9984286504030071	0.9985357915916035	0.9984827212168025	0.9984556782162619	0.9984612272810456	0.9984001921004853	0.9996309006479643	0.9984689563588003	0.9981771393890979	0.9997750257382765	0.9983775711085466	0.9982854692694895	0.9984672876459686	0.9984650563160766	0.9994221281520282	0.9633374577962162	0.9984576002603627	1.0	0.9985426724975198	0.9984444133710633	0.9984483697108101	0.9637444412533545	0.9983871102661375	0.998395044407728	0.9984641428925205	0.9984728976858991	0.9988678168965404	0.9984850400637721	0.9984528152608676	0.999416764389155	0.998467513014031	0.9984001205053616	0.9985262735147624	0.9632985690628132	0.9984584992974093	0.9984280267936871	0.998447606877752	0.9984277196519321	0.9984481893892425	0.9984288966593535	0.9984958477221763	0.9634954801006049
NZ_CP009040	0.9980690699120768	0.9980252664872238	0.9999736010622483	0.9981114024830874	0.9981092131260568	0.998110378560452	0.9993407212595227	0.9982653374778648	0.9980527900742062	0.9980297126952969	0.9984298833578049	0.9979754245530037	0.9979464350076569	0.9980321708825323	0.9981094933851768	0.9985725201492032	0.963384196291951	0.9981033171473702	0.9985426724975198	1.0	0.9980749757435571	0.998100433291847	0.9635186747085634	0.9980654755205237	0.9980841565600558	0.9980925977418648	0.9980905778815062	0.9990077518440383	0.9980861913609832	0.9980799187432551	0.9985355364259201	0.9980884036356606	0.9993327438937973	0.9999780942933949	0.9633509125872395	0.9980795277107041	0.9980138916237681	0.9980994606514434	0.9980893429611877	0.9981010168760891	0.9980405605719306	0.9999511383082804	0.9632986760098879
